Territorialidade,Posicao IDHM 2010,IDHM 2010,Posicao IDHM Renda 2010,IDHM Renda 2010,Posicao IDHM Educacao 2010,IDHM Educacao 2010,Posicao IDHM Longevidade 2010,IDHM Longevidade 2010,Posicao IDHM 2000,IDHM 2000,Posicao IDHM Renda 2000,IDHM Renda 2000,Posicao IDHM Educacao 2000,IDHM Educacao 2000,Posicao IDHM Longevidade 2000,IDHM Longevidade 2000
SE#MG#Brás Pires #,3587,0.625,3934,0.582,3522,0.523,3077,0.801,3360,0.49,4122,0.497,3247,0.315,2211,0.751
N#PA#Brasil Novo #,3847,0.613,3140,0.632,4821,0.451,2696,0.809,4220,0.433,2953,0.577,4909,0.199,3438,0.707
CO#MS#Brasilândia #,1866,0.701,1008,0.721,2557,0.57,1315,0.837,2551,0.547,720,0.681,3109,0.326,2654,0.737
SE#MG#Brasilândia de Minas #,2573,0.674,2908,0.646,2798,0.559,792,0.848,2263,0.564,2088,0.62,2376,0.381,1860,0.761
S#PR#Brasilândia do Sul #,2412,0.681,2149,0.68,2509,0.572,2504,0.813,1916,0.582,2305,0.61,1446,0.45,3146,0.718
N#TO#Brasilândia do Tocantins #,2332,0.684,3021,0.64,1945,0.601,1603,0.831,3161,0.505,3509,0.538,2884,0.343,3696,0.697
N#AC#Brasiléia #,3820,0.614,3334,0.619,4241,0.485,4131,0.77,3553,0.476,3083,0.57,3834,0.273,3802,0.693
NE#PI#Brasileira #,4695,0.577,4161,0.572,4887,0.446,4697,0.752,4810,0.396,5109,0.439,4685,0.216,4508,0.654
CO#DF#Brasília #,9,0.824,8,0.863,73,0.742,147,0.873,40,0.725,14,0.805,167,0.582,347,0.814
SE#MG#Brasília de Minas #,2986,0.656,3454,0.612,2600,0.568,2504,0.813,3064,0.513,3509,0.538,2884,0.343,2854,0.73
CO#MT#Brasnorte #,2028,0.696,1741,0.695,2531,0.571,722,0.85,2997,0.517,877,0.673,3956,0.264,1288,0.778
SE#MG#Brasópolis #,2134,0.692,1678,0.697,2654,0.566,1128,0.841,1973,0.579,1383,0.652,2110,0.4,2466,0.743
SE#SP#Braúna #,850,0.737,918,0.725,802,0.664,1647,0.83,356,0.669,1079,0.664,228,0.571,960,0.789
SE#MG#Braúnas #,3607,0.624,3095,0.635,4373,0.478,3026,0.802,3794,0.459,3927,0.51,3938,0.265,3183,0.715
CO#GO#Brazabrantes #,1866,0.701,2230,0.677,1687,0.615,1846,0.826,2699,0.538,2870,0.582,2572,0.367,2835,0.731
NE#PE#Brejão #,5244,0.547,4903,0.54,5215,0.417,5227,0.725,5219,0.364,5034,0.444,5120,0.18,5375,0.601
SE#ES#Brejetuba #,2986,0.656,3173,0.63,3207,0.54,1747,0.828,3111,0.509,2008,0.624,3607,0.288,2774,0.734
NE#PE#Brejinho #,4764,0.574,4376,0.563,4095,0.493,5549,0.681,4747,0.401,5232,0.43,4227,0.245,5248,0.613
NE#RN#Brejinho #,4331,0.592,3876,0.585,4116,0.492,5268,0.722,4199,0.434,3955,0.508,4353,0.237,4026,0.68
N#TO#Brejinho de Nazaré #,2282,0.686,3095,0.635,1615,0.619,2161,0.82,3398,0.487,3402,0.544,3404,0.304,3639,0.699
NE#MA#Brejo #,5002,0.562,5271,0.517,4774,0.454,4509,0.758,4999,0.383,5430,0.406,4587,0.223,5115,0.622
SE#SP#Brejo Alegre #,1595,0.71,1516,0.702,1633,0.618,1846,0.826,1623,0.597,2305,0.61,1302,0.461,2064,0.756
NE#PE#Brejo da Madre de Deus #,5002,0.562,3955,0.581,5215,0.417,5081,0.734,4704,0.404,3805,0.519,4859,0.203,5106,0.624
NE#MA#Brejo de Areia #,5461,0.519,5377,0.507,5273,0.408,5556,0.677,5479,0.317,5500,0.387,5350,0.15,5560,0.55
NE#PB#Brejo do Cruz #,4215,0.597,4089,0.575,4631,0.463,3214,0.798,3651,0.469,3720,0.524,3720,0.28,3548,0.703
NE#PI#Brejo do Piauí #,5481,0.515,5075,0.531,5505,0.354,5227,0.725,5550,0.278,5309,0.423,5547,0.083,5279,0.61
NE#PB#Brejo dos Santos #,3721,0.619,4351,0.564,3183,0.541,3897,0.776,3904,0.451,4035,0.503,3629,0.286,4779,0.639
NE#SE#Brejo Grande #,5325,0.54,5297,0.515,5011,0.435,5468,0.701,5089,0.377,5198,0.433,4785,0.209,5436,0.591
N#PA#Brejo Grande do Araguaia #,4372,0.591,3817,0.588,4463,0.473,4916,0.743,3279,0.496,3573,0.534,3200,0.32,3174,0.716
NE#CE#Brejo Santo #,3172,0.647,3678,0.596,2111,0.592,4204,0.768,3189,0.503,3509,0.538,3185,0.321,2744,0.735
NE#BA#Brejões #,4215,0.597,4451,0.56,4163,0.49,3948,0.775,4150,0.437,3783,0.52,4371,0.236,4045,0.679
NE#BA#Brejolândia #,4331,0.592,5037,0.533,3522,0.523,4860,0.746,4551,0.414,5034,0.444,4481,0.229,3696,0.697
N#PA#Breu Branco #,4884,0.568,4565,0.555,5173,0.422,3726,0.781,4407,0.422,3206,0.559,4927,0.197,3962,0.684
N#PA#Breves #,5520,0.503,5191,0.524,5549,0.312,3831,0.778,5139,0.372,4222,0.491,5358,0.148,3479,0.706
CO#GO#Britânia #,2621,0.672,1817,0.692,3078,0.546,3026,0.802,2529,0.548,2447,0.604,2789,0.351,1402,0.775
S#RS#Brochier #,1934,0.699,961,0.723,2908,0.554,702,0.851,2231,0.566,1221,0.658,2921,0.34,430,0.809
SE#SP#Brodowski #,453,0.755,639,0.738,648,0.675,319,0.864,408,0.665,405,0.701,672,0.512,275,0.818
SE#SP#Brotas #,764,0.74,937,0.724,495,0.688,2407,0.815,426,0.664,254,0.715,447,0.539,1860,0.761
NE#BA#Brotas de Macaúbas #,4841,0.57,4628,0.552,4902,0.445,4625,0.754,4704,0.404,5077,0.441,4448,0.231,4583,0.649
