Territorialidade,Posicao IDHM 2010,IDHM 2010,Posicao IDHM Renda 2010,IDHM Renda 2010,Posicao IDHM Educacao 2010,IDHM Educacao 2010,Posicao IDHM Longevidade 2010,IDHM Longevidade 2010,Posicao IDHM 2000,IDHM 2000,Posicao IDHM Renda 2000,IDHM Renda 2000,Posicao IDHM Educacao 2000,IDHM Educacao 2000,Posicao IDHM Longevidade 2000,IDHM Longevidade 2000
NE#MA#Lago da Pedra #,4416,0.589,4425,0.561,3943,0.502,5241,0.724,4278,0.43,3874,0.514,4105,0.254,5288,0.609
NE#MA#Lago do Junco #,4614,0.581,4963,0.537,4116,0.492,4958,0.741,4936,0.388,4082,0.5,5054,0.187,5090,0.625
NE#MA#Lago dos Rodrigues #,4101,0.602,4565,0.555,3300,0.534,5032,0.737,4859,0.393,5163,0.435,4415,0.233,5375,0.601
NE#MA#Lago Verde #,5098,0.557,5365,0.508,4588,0.466,5128,0.731,5339,0.348,5492,0.391,5168,0.175,5210,0.617
NE#PB#Lagoa #,4984,0.563,5037,0.533,4862,0.448,4826,0.747,4778,0.398,4794,0.46,4599,0.222,5179,0.618
NE#PI#Lagoa Alegre #,5194,0.55,4945,0.538,5131,0.425,5175,0.728,5128,0.373,5309,0.423,5082,0.184,4261,0.666
S#RS#Lagoa Bonita do Sul #,2663,0.67,1707,0.696,3223,0.539,3077,0.801,2771,0.533,2553,0.599,3019,0.333,2018,0.757
NE#AL#Lagoa da Canoa #,5169,0.552,4876,0.541,4920,0.443,5456,0.703,4999,0.383,5163,0.435,4849,0.204,4914,0.634
N#TO#Lagoa da Confusão #,3534,0.627,3173,0.63,4047,0.496,3594,0.787,3512,0.479,2634,0.595,3701,0.281,4409,0.659
SE#MG#Lagoa da Prata #,965,0.732,1039,0.72,945,0.655,1560,0.832,1118,0.623,1100,0.663,946,0.488,2296,0.749
NE#RN#Lagoa D'Anta #,4123,0.601,3980,0.58,3847,0.507,4989,0.739,4518,0.416,4491,0.477,4403,0.234,4659,0.646
NE#PB#Lagoa de Dentro #,4841,0.57,4927,0.539,4909,0.444,4064,0.772,4491,0.418,4794,0.46,4285,0.241,4390,0.66
NE#PE#Lagoa de Itaenga #,4101,0.602,4565,0.555,3814,0.509,3987,0.774,4564,0.413,4332,0.486,4741,0.212,3929,0.686
NE#RN#Lagoa de Pedras #,5157,0.553,5110,0.529,4999,0.436,5081,0.734,5200,0.366,5338,0.419,5217,0.169,3759,0.695
NE#PI#Lagoa de São Francisco #,5402,0.529,5434,0.499,5325,0.4,4916,0.743,5494,0.312,5496,0.389,5447,0.129,5344,0.604
NE#RN#Lagoa de Velhos #,4416,0.589,4288,0.566,4724,0.458,3540,0.789,3609,0.472,4384,0.483,2961,0.337,4603,0.648
NE#PI#Lagoa do Barro do Piauí #,5524,0.502,5524,0.474,5499,0.358,4893,0.744,5518,0.303,5370,0.415,5514,0.108,5109,0.623
NE#PE#Lagoa do Carro #,3927,0.609,4288,0.566,3883,0.505,3540,0.789,3325,0.493,3465,0.541,3086,0.328,4093,0.676
NE#MA#Lagoa do Mato #,4921,0.566,5172,0.525,4430,0.475,5207,0.726,5491,0.313,5514,0.382,5429,0.134,5395,0.598
NE#PE#Lagoa do Ouro #,5432,0.525,4987,0.536,5473,0.369,5094,0.733,5089,0.377,5198,0.433,4927,0.197,5044,0.627
NE#PI#Lagoa do Piauí #,4562,0.583,4720,0.548,4614,0.464,3831,0.778,4999,0.383,5384,0.413,4768,0.21,4603,0.648
NE#PI#Lagoa do Sítio #,5306,0.541,5393,0.504,5180,0.421,4876,0.745,5017,0.382,5409,0.409,4628,0.22,5148,0.619
N#TO#Lagoa do Tocantins #,4654,0.579,4828,0.543,4502,0.471,4509,0.758,5479,0.317,5546,0.364,5401,0.139,5034,0.628
NE#PE#Lagoa dos Gatos #,5186,0.551,4565,0.555,5222,0.416,5227,0.725,4892,0.391,4636,0.469,4785,0.209,5288,0.609
SE#MG#Lagoa dos Patos #,3407,0.634,3734,0.593,2866,0.556,4028,0.773,3398,0.487,4265,0.489,2983,0.335,3513,0.705
S#RS#Lagoa dos Três Cantos #,71,0.789,232,0.765,39,0.754,643,0.852,426,0.664,632,0.686,714,0.508,66,0.841
SE#MG#Lagoa Dourada #,2524,0.676,2375,0.672,2908,0.554,1747,0.828,2866,0.527,2778,0.587,2997,0.334,2387,0.746
SE#MG#Lagoa Formosa #,1811,0.703,1111,0.717,2304,0.582,1560,0.832,1754,0.59,1811,0.633,1978,0.409,773,0.795
SE#MG#Lagoa Grande #,2462,0.679,2212,0.678,2600,0.568,2562,0.812,2135,0.571,2111,0.619,1961,0.41,2744,0.735
NE#PE#Lagoa Grande #,4215,0.597,3955,0.581,3593,0.52,5439,0.705,4079,0.441,3728,0.523,4090,0.255,4674,0.645
NE#MA#Lagoa Grande do Maranhão #,5524,0.502,5510,0.48,5494,0.36,5128,0.731,5503,0.309,5514,0.382,5454,0.128,5357,0.603
NE#RN#Lagoa Nova #,4515,0.585,4855,0.542,4272,0.483,4329,0.764,4029,0.444,4741,0.463,3594,0.289,4489,0.655
NE#BA#Lagoa Real #,5268,0.545,5008,0.535,5362,0.395,4329,0.764,5256,0.36,5077,0.441,5332,0.153,3855,0.69
NE#RN#Lagoa Salgada #,4590,0.582,4649,0.551,4614,0.464,4100,0.771,5278,0.357,5019,0.445,5358,0.148,3874,0.689
CO#GO#Lagoa Santa #,764,0.74,765,0.733,1232,0.638,238,0.868,2366,0.559,2819,0.585,2590,0.366,330,0.815
SE#MG#Lagoa Santa #,157,0.777,78,0.79,442,0.693,501,0.857,549,0.656,584,0.689,442,0.54,1908,0.76
NE#PB#Lagoa Seca #,3534,0.627,3304,0.621,3675,0.516,4168,0.769,3758,0.461,3584,0.533,3585,0.29,4935,0.632
S#RS#Lagoa Vermelha #,823,0.738,739,0.734,1593,0.62,40,0.885,637,0.65,974,0.669,734,0.506,393,0.811
S#RS#Lagoão #,3234,0.643,3000,0.641,3883,0.505,2064,0.822,3553,0.476,3708,0.525,3819,0.274,2323,0.748
SE#SP#Lagoinha #,2105,0.693,1996,0.686,1782,0.609,3252,0.797,1903,0.583,2270,0.612,1475,0.448,3018,0.723
NE#PI#Lagoinha do Piauí #,4215,0.597,4425,0.561,4201,0.488,3897,0.776,3824,0.457,5064,0.442,3276,0.313,3846,0.691
S#SC#Laguna #,508,0.752,1166,0.715,560,0.682,181,0.871,682,0.646,1100,0.663,856,0.496,228,0.821
CO#MS#Laguna Carapã #,2621,0.672,2266,0.676,3100,0.545,2064,0.822,2742,0.535,1411,0.651,3369,0.307,1652,0.767
NE#BA#Laje #,4495,0.586,4720,0.548,4332,0.48,4329,0.764,4258,0.431,3832,0.517,4614,0.221,3639,0.699
SE#RJ#Laje do Muriaé #,2716,0.668,2861,0.649,2457,0.575,3129,0.8,2318,0.561,2598,0.597,2048,0.404,2835,0.731
S#RS#Lajeado #,145,0.778,61,0.796,305,0.704,1183,0.84,67,0.715,100,0.741,126,0.592,120,0.832
N#TO#Lajeado #,2545,0.675,2343,0.673,2490,0.573,3214,0.798,3147,0.506,2745,0.589,3049,0.331,4261,0.666
S#RS#Lajeado do Bugre #,3847,0.613,3562,0.604,4599,0.465,2064,0.822,3173,0.504,3402,0.544,3404,0.304,1402,0.775
S#SC#Lajeado Grande #,220,0.771,415,0.75,223,0.712,473,0.858,384,0.667,858,0.674,572,0.525,87,0.838
NE#MA#Lajeado Novo #,4416,0.589,4425,0.561,4081,0.494,5008,0.738,5116,0.374,4457,0.479,5192,0.172,4819,0.637
NE#BA#Lajedão #,3448,0.632,2807,0.652,4026,0.497,3831,0.778,3279,0.496,2778,0.587,3238,0.316,4441,0.657
NE#BA#Lajedinho #,5253,0.546,5215,0.522,5246,0.413,4661,0.753,5376,0.341,5034,0.444,5378,0.144,5148,0.619
NE#PE#Lajedo #,3884,0.611,3637,0.599,3925,0.503,4509,0.758,3579,0.474,3364,0.547,3404,0.304,4779,0.639
NE#BA#Lajedo do Tabocal #,4540,0.584,4779,0.545,4351,0.479,4329,0.764,4762,0.4,4199,0.492,4842,0.205,4900,0.635
NE#RN#Lajes #,3607,0.624,4023,0.578,2844,0.557,4579,0.756,3409,0.486,3824,0.518,2789,0.351,4992,0.63
NE#RN#Lajes Pintadas #,3587,0.625,4476,0.559,2600,0.568,4168,0.769,3238,0.499,3969,0.507,2832,0.348,3548,0.703
SE#MG#Lajinha #,2870,0.661,2667,0.659,3183,0.541,2661,0.81,2890,0.525,2447,0.604,2971,0.336,3285,0.712
NE#BA#Lamarão #,5467,0.518,5423,0.501,5464,0.372,4826,0.747,4907,0.39,4698,0.466,4965,0.194,4441,0.657
SE#MG#Lambari #,1574,0.711,1797,0.693,2035,0.596,181,0.871,1041,0.627,737,0.68,1387,0.455,718,0.797
CO#MT#Lambari D'Oeste #,3534,0.627,2428,0.67,4572,0.467,3594,0.787,3609,0.472,2935,0.578,3956,0.264,3897,0.688
SE#MG#Lamim #,3008,0.655,3279,0.623,3078,0.546,1747,0.828,3279,0.496,3600,0.532,3223,0.318,3018,0.723
NE#PI#Landri Sales #,4540,0.584,4376,0.563,4332,0.48,5008,0.738,3904,0.451,4151,0.495,3802,0.275,4162,0.672
S#PR#Lapa #,1720,0.706,1707,0.696,2045,0.595,792,0.848,1298,0.614,1297,0.655,1323,0.459,1584,0.769
NE#BA#Lapão #,4238,0.596,4670,0.55,3792,0.51,4602,0.755,3975,0.447,3751,0.522,3786,0.276,5148,0.619
SE#ES#Laranja da Terra #,2986,0.656,3120,0.633,2988,0.55,2661,0.81,2480,0.551,2618,0.596,2387,0.38,2578,0.74
SE#MG#Laranjal #,1486,0.714,1768,0.694,1712,0.613,501,0.857,1275,0.615,1873,0.63,1508,0.446,156,0.829
S#PR#Laranjal #,4515,0.585,3955,0.581,4999,0.436,3511,0.79,4474,0.419,3751,0.522,4849,0.204,3802,0.693
N#AP#Laranjal do Jari #,2776,0.665,3000,0.641,2490,0.573,3077,0.801,3481,0.481,2680,0.593,4049,0.258,2888,0.728
SE#SP#Laranjal Paulista #,1052,0.729,784,0.732,1209,0.639,1704,0.829,476,0.661,227,0.718,572,0.525,1652,0.767
NE#SE#Laranjeiras #,3254,0.642,3796,0.589,2304,0.582,4064,0.772,3636,0.47,4103,0.498,3152,0.323,4682,0.644
S#PR#Laranjeiras do Sul #,1720,0.706,1318,0.709,2065,0.594,1419,0.835,1604,0.598,1500,0.647,1463,0.449,2654,0.737
SE#MG#Lassance #,3501,0.629,3419,0.614,3774,0.511,3329,0.795,3262,0.497,3708,0.525,3152,0.323,2953,0.725
NE#PB#Lastro #,5370,0.533,5062,0.532,5433,0.38,4826,0.747,4713,0.403,5338,0.419,4199,0.247,4935,0.632
S#SC#Laurentino #,562,0.749,565,0.742,829,0.662,551,0.855,501,0.659,238,0.717,734,0.506,924,0.79
NE#BA#Lauro de Freitas #,467,0.754,125,0.781,815,0.663,1798,0.827,1256,0.616,338,0.707,1387,0.455,2953,0.725
S#SC#Lauro Muller #,897,0.735,1190,0.714,620,0.677,2064,0.822,797,0.64,1500,0.647,683,0.511,827,0.793
N#TO#Lavandeira #,2898,0.66,3649,0.598,1593,0.62,3948,0.775,4258,0.431,5475,0.398,3465,0.299,4126,0.674
SE#SP#Lavínia #,1266,0.721,1649,0.698,945,0.655,2161,0.82,682,0.646,1455,0.649,265,0.563,2624,0.738
SE#MG#Lavras #,113,0.782,316,0.757,172,0.719,83,0.88,270,0.678,254,0.715,354,0.551,924,0.79
NE#CE#Lavras da Mangabeira #,3847,0.613,4073,0.576,3696,0.515,3831,0.778,3771,0.46,4794,0.46,3518,0.295,3183,0.715
S#RS#Lavras do Sul #,1934,0.699,2061,0.683,2399,0.577,238,0.868,1004,0.629,1242,0.657,899,0.492,1584,0.769
SE#SP#Lavrinhas #,1052,0.729,2535,0.665,269,0.707,1987,0.823,1220,0.618,2163,0.617,946,0.488,1182,0.783
SE#MG#Leandro Ferreira #,1595,0.71,1372,0.707,2352,0.579,128,0.875,2160,0.57,2024,0.623,2429,0.377,1031,0.787
S#SC#Lebon Régis #,3136,0.649,3140,0.632,3249,0.537,2849,0.806,3262,0.497,2819,0.585,3786,0.276,1812,0.762
SE#SP#Leme #,667,0.744,832,0.729,787,0.665,702,0.851,882,0.635,421,0.7,1020,0.481,1908,0.76
SE#MG#Leme do Prado #,2663,0.67,3590,0.602,1193,0.64,3775,0.779,3089,0.511,3364,0.547,2761,0.353,3802,0.693
NE#BA#Lençóis #,3631,0.623,3437,0.613,3792,0.51,3948,0.775,3527,0.478,3509,0.538,3263,0.314,4659,0.646
SE#SP#Lençóis Paulista #,304,0.764,548,0.743,185,0.717,1315,0.837,145,0.697,248,0.716,194,0.577,228,0.821
S#SC#Leoberto Leal #,2282,0.686,596,0.74,3328,0.533,2259,0.818,2731,0.536,2148,0.618,3185,0.321,1310,0.777
SE#MG#Leopoldina #,1133,0.726,1707,0.696,1295,0.635,257,0.867,1041,0.627,1202,0.659,1105,0.475,960,0.789
CO#GO#Leopoldo de Bulhões #,2924,0.659,2535,0.665,3402,0.529,2562,0.812,2923,0.523,2047,0.622,3289,0.312,2654,0.737
S#PR#Leópolis #,1696,0.707,2709,0.657,815,0.663,2562,0.812,951,0.632,2088,0.62,390,0.547,2436,0.744
S#RS#Liberato Salzano #,2309,0.685,2149,0.68,2293,0.583,2661,0.81,2947,0.521,3008,0.574,2997,0.334,2654,0.737
SE#MG#Liberdade #,2621,0.672,2182,0.679,3249,0.537,1464,0.834,2318,0.561,2533,0.6,2590,0.366,541,0.804
NE#BA#Licínio de Almeida #,3680,0.621,3934,0.582,3368,0.531,3948,0.775,3381,0.488,3644,0.529,3360,0.308,3233,0.714
S#PR#Lidianópolis #,2439,0.68,2709,0.657,1995,0.598,3026,0.802,1916,0.582,2764,0.588,1617,0.437,1652,0.767
NE#MA#Lima Campos #,4614,0.581,4023,0.578,4306,0.481,5439,0.705,4684,0.405,4457,0.479,4353,0.237,5483,0.585
SE#MG#Lima Duarte #,1595,0.71,1424,0.705,2157,0.59,390,0.861,1879,0.584,2235,0.614,1725,0.429,1987,0.758
SE#SP#Limeira #,178,0.775,281,0.761,172,0.719,643,0.852,127,0.7,173,0.726,118,0.593,718,0.797
SE#MG#Limeira do Oeste #,1595,0.71,1797,0.693,1593,0.62,1464,0.834,1844,0.586,2111,0.619,2023,0.406,684,0.799
NE#PE#Limoeiro #,2828,0.663,3204,0.628,2293,0.583,3252,0.797,2683,0.539,3377,0.546,2358,0.382,2296,0.749
NE#AL#Limoeiro de Anadia #,4638,0.58,4089,0.575,4733,0.457,4936,0.742,5175,0.369,5064,0.442,5138,0.178,4819,0.637
N#PA#Limoeiro do Ajuru #,5306,0.541,5467,0.493,5131,0.425,4625,0.754,5128,0.373,5058,0.443,5242,0.166,3513,0.705
NE#CE#Limoeiro do Norte #,2386,0.682,3120,0.633,1535,0.623,2940,0.804,2318,0.561,3189,0.56,2059,0.403,1182,0.783
S#PR#Lindoeste #,2759,0.666,2807,0.652,2185,0.588,4168,0.769,2338,0.56,3120,0.567,1725,0.429,3018,0.723
SE#SP#Lindóia #,719,0.742,989,0.722,966,0.654,319,0.864,228,0.685,254,0.715,373,0.549,261,0.819
S#SC#Lindóia do Sul #,695,0.743,478,0.747,1271,0.636,303,0.865,501,0.659,163,0.729,696,0.51,1584,0.769
S#RS#Lindolfo Collor #,1546,0.712,1248,0.712,1945,0.601,1075,0.842,2668,0.54,1691,0.639,3126,0.325,2018,0.757
S#RS#Linha Nova #,562,0.749,398,0.751,829,0.662,901,0.846,1358,0.611,1630,0.641,1323,0.459,1402,0.775
SE#ES#Linhares #,1191,0.724,1008,0.721,1395,0.63,1464,0.834,1150,0.621,997,0.668,1134,0.473,1948,0.759
SE#SP#Lins #,87,0.786,266,0.762,107,0.733,222,0.869,44,0.723,86,0.746,51,0.62,304,0.816
NE#PB#Livramento #,4921,0.566,5206,0.523,4463,0.473,5105,0.732,4876,0.392,5249,0.428,4544,0.225,5090,0.625
NE#BA#Livramento de Nossa Senhora #,3884,0.611,3834,0.587,4143,0.491,3400,0.793,3409,0.486,3495,0.539,3223,0.318,4189,0.67
N#TO#Lizarda #,4841,0.57,3894,0.584,5229,0.415,4304,0.765,4936,0.388,4935,0.451,4915,0.198,4537,0.652
S#PR#Loanda #,1154,0.725,937,0.724,1097,0.645,2407,0.815,967,0.631,1545,0.645,779,0.503,1458,0.773
S#PR#Lobato #,667,0.744,1346,0.708,450,0.692,1128,0.841,184,0.69,814,0.676,40,0.632,1630,0.768
NE#PB#Logradouro #,4562,0.583,4804,0.544,4532,0.47,3897,0.776,4290,0.429,4698,0.466,3956,0.264,4713,0.642
S#PR#Londrina #,145,0.778,83,0.789,223,0.712,1315,0.837,63,0.716,65,0.753,65,0.612,741,0.796
SE#MG#Lontra #,3186,0.646,3796,0.589,2399,0.577,3362,0.794,3498,0.48,4560,0.473,2997,0.334,3599,0.701
S#SC#Lontras #,1776,0.704,715,0.735,2352,0.579,2161,0.82,1298,0.614,1275,0.656,1463,0.449,1031,0.787
SE#SP#Lorena #,274,0.766,692,0.736,220,0.713,527,0.856,135,0.699,331,0.708,132,0.591,304,0.816
NE#MA#Loreto #,4590,0.582,5284,0.516,4066,0.495,4100,0.771,4778,0.398,5379,0.414,4306,0.24,4876,0.636
SE#SP#Lourdes #,719,0.742,1678,0.697,185,0.717,2357,0.816,1220,0.618,2405,0.606,866,0.495,1108,0.785
SE#SP#Louveira #,157,0.777,112,0.783,389,0.697,390,0.861,408,0.665,287,0.712,748,0.505,261,0.819
CO#MT#Lucas do Rio Verde #,249,0.768,223,0.766,239,0.71,1515,0.833,516,0.658,161,0.73,981,0.485,515,0.805
SE#SP#Lucélia #,508,0.752,848,0.728,416,0.695,1128,0.841,408,0.665,974,0.669,265,0.563,1206,0.782
NE#PB#Lucena #,4562,0.583,4054,0.577,4544,0.469,5081,0.734,4892,0.391,4457,0.479,4953,0.195,4713,0.642
SE#SP#Lucianópolis #,940,0.733,692,0.736,829,0.662,2696,0.809,1604,0.598,2573,0.598,1208,0.467,1761,0.764
CO#MT#Luciara #,2524,0.676,3368,0.617,1308,0.634,3570,0.788,2755,0.534,3243,0.556,2154,0.397,3897,0.688
NE#RN#Lucrécia #,3186,0.646,3261,0.624,2967,0.551,3649,0.785,3133,0.507,4135,0.496,2342,0.383,3910,0.687
SE#SP#Luís Antônio #,993,0.731,1318,0.709,708,0.671,2064,0.822,328,0.672,555,0.691,378,0.548,606,0.802
NE#PI#Luís Correia #,5306,0.541,4804,0.544,5342,0.398,5145,0.73,5339,0.348,4741,0.463,5323,0.154,5436,0.591
NE#MA#Luís Domingues #,4444,0.588,4876,0.541,3753,0.512,5081,0.734,3890,0.452,4678,0.467,3323,0.31,4819,0.637
NE#BA#Luís Eduardo Magalhães #,1427,0.716,349,0.754,2157,0.59,1846,0.826,2551,0.547,421,0.7,3126,0.325,3087,0.721
NE#RN#Luís Gomes #,3957,0.608,4779,0.545,3368,0.531,3897,0.776,4353,0.425,4777,0.461,4415,0.233,3233,0.714
SE#MG#Luisburgo #,3957,0.608,3478,0.61,4758,0.455,2696,0.809,4237,0.432,2148,0.618,5092,0.183,3183,0.715
SE#MG#Luislândia #,3820,0.614,4243,0.568,3814,0.509,3167,0.799,4303,0.428,4678,0.467,4325,0.239,3599,0.701
S#SC#Luiz Alves #,850,0.737,223,0.766,1957,0.6,204,0.87,882,0.635,390,0.702,1323,0.459,773,0.795
S#PR#Luiziana #,2716,0.668,2667,0.659,2338,0.58,3726,0.781,2809,0.53,2891,0.581,2528,0.37,3780,0.694
SE#SP#Luiziânia #,1842,0.702,2090,0.682,1535,0.623,2407,0.815,1525,0.602,2008,0.624,1228,0.466,2296,0.749
SE#MG#Luminárias #,2481,0.678,2732,0.656,2377,0.578,2112,0.821,1681,0.594,858,0.674,1995,0.408,1781,0.763
S#PR#Lunardelli #,2182,0.69,2747,0.655,1822,0.607,1846,0.826,2245,0.565,2935,0.578,1948,0.411,1860,0.761
SE#SP#Lupércio #,1191,0.724,2182,0.679,668,0.674,1647,0.83,1716,0.592,2325,0.609,1475,0.448,1908,0.76
S#PR#Lupionópolis #,1595,0.71,1473,0.703,2045,0.595,527,0.856,1275,0.615,1523,0.646,1475,0.448,563,0.803
SE#SP#Lutécia #,1301,0.72,2428,0.67,883,0.659,901,0.846,539,0.657,1771,0.635,167,0.582,1584,0.769
SE#MG#Luz #,1191,0.724,961,0.723,1395,0.63,1515,0.833,461,0.662,163,0.729,645,0.515,1492,0.772
S#SC#Luzerna #,71,0.789,125,0.781,179,0.718,110,0.877,145,0.697,278,0.713,309,0.557,22,0.852
CO#GO#Luziânia #,1866,0.701,1915,0.689,1921,0.602,1603,0.831,2497,0.55,1691,0.639,2997,0.334,1265,0.779
NE#PI#Luzilândia #,5268,0.545,4670,0.55,5192,0.42,5476,0.7,5047,0.38,4698,0.466,4768,0.21,5540,0.562
N#TO#Luzinópolis #,3312,0.639,3734,0.593,1857,0.605,5207,0.726,3858,0.454,4515,0.476,2997,0.334,5444,0.59
SE#RJ#Macaé #,304,0.764,73,0.792,573,0.681,1747,0.828,408,0.665,120,0.737,508,0.531,2211,0.751
NE#RN#Macaíba #,3291,0.64,3437,0.613,3100,0.545,3670,0.784,3119,0.508,3480,0.54,2805,0.35,3780,0.694
NE#BA#Macajuba #,5439,0.524,5297,0.515,5499,0.358,3751,0.78,5116,0.374,4994,0.447,5120,0.18,4603,0.648
S#RS#Maçambará #,2332,0.684,2562,0.664,2338,0.58,1560,0.832,2298,0.562,1691,0.639,2513,0.371,2364,0.747
NE#SE#Macambira #,4562,0.583,4137,0.573,4447,0.474,5175,0.728,3990,0.446,4103,0.498,4013,0.26,3962,0.684
N#AP#Macapá #,940,0.733,961,0.723,815,0.663,2161,0.82,1138,0.622,1022,0.667,1062,0.478,2107,0.754
NE#PE#Macaparana #,3927,0.609,4180,0.571,3832,0.508,3831,0.778,3858,0.454,4491,0.477,3381,0.306,4779,0.639
NE#BA#Macarani #,4029,0.605,3524,0.607,4588,0.466,3704,0.782,3944,0.449,3861,0.515,4049,0.258,3993,0.682
SE#SP#Macatuba #,227,0.77,252,0.763,389,0.697,451,0.859,777,0.641,1242,0.657,727,0.507,960,0.789
NE#RN#Macau #,2776,0.665,2842,0.65,2509,0.572,3428,0.792,2408,0.556,3129,0.566,1761,0.426,3323,0.711
SE#SP#Macaubal #,695,0.743,1039,0.72,634,0.676,986,0.844,394,0.666,858,0.674,323,0.555,896,0.791
NE#BA#Macaúbas #,3927,0.609,4529,0.557,3737,0.513,3475,0.791,4237,0.432,4457,0.479,4241,0.244,3855,0.69
SE#SP#Macedônia #,764,0.74,1424,0.705,648,0.675,643,0.852,1196,0.619,2235,0.614,849,0.497,1265,0.779
NE#AL#Maceió #,1266,0.721,621,0.739,1295,0.635,3167,0.799,1879,0.584,584,0.689,1667,0.433,4248,0.667
SE#MG#Machacalis #,3291,0.64,3524,0.607,2953,0.552,3690,0.783,3567,0.475,4035,0.503,3247,0.315,4067,0.678
S#RS#Machadinho #,2134,0.692,1268,0.711,2399,0.577,2805,0.807,2135,0.571,2662,0.594,2175,0.396,924,0.79
N#RO#Machadinho D'Oeste #,4238,0.596,3190,0.629,4887,0.446,4602,0.755,3944,0.449,2695,0.592,4544,0.225,4026,0.68
SE#MG#Machado #,1454,0.715,1069,0.719,1957,0.6,792,0.848,985,0.63,421,0.7,1373,0.456,1108,0.785
NE#PE#Machados #,4670,0.578,4876,0.541,4588,0.466,4245,0.767,4491,0.418,4172,0.494,4448,0.231,4779,0.639
S#SC#Macieira #,2846,0.662,2295,0.675,3328,0.533,2849,0.806,2652,0.541,707,0.682,3404,0.304,1812,0.762
SE#RJ#Macuco #,1811,0.703,1967,0.687,1370,0.631,3077,0.801,1093,0.625,1500,0.647,835,0.498,1948,0.759
NE#BA#Macururé #,4055,0.604,4740,0.547,3223,0.539,4794,0.748,4876,0.392,4829,0.458,4731,0.213,5179,0.618
NE#CE#Madalena #,3902,0.61,4987,0.536,3100,0.545,3831,0.778,4048,0.443,4660,0.468,3938,0.265,3599,0.701
NE#PI#Madeiro #,4984,0.563,5528,0.472,4183,0.489,4064,0.772,5234,0.362,5446,0.404,5102,0.182,4682,0.644
NE#BA#Madre de Deus #,1665,0.708,2428,0.67,758,0.667,3362,0.794,2245,0.565,2553,0.599,1761,0.426,3411,0.708
SE#MG#Madre de Deus de Minas #,1934,0.699,2490,0.667,1995,0.598,527,0.856,1681,0.594,2903,0.58,1020,0.481,2211,0.751
NE#PB#Mãe D'Água #,5293,0.542,5235,0.52,5096,0.429,5377,0.712,5278,0.357,5370,0.415,5092,0.183,5393,0.599
N#PA#Mãe do Rio #,4167,0.599,3403,0.615,4724,0.458,4366,0.763,3686,0.466,3377,0.546,4105,0.254,2888,0.728
NE#BA#Maetinga #,5339,0.538,4322,0.565,5477,0.368,4732,0.751,5497,0.311,5249,0.428,5523,0.104,4106,0.675
S#SC#Mafra #,157,0.777,639,0.738,155,0.723,83,0.88,612,0.652,1180,0.66,587,0.523,563,0.803
N#PA#Magalhães Barata #,4215,0.597,5191,0.524,3847,0.507,3077,0.801,4290,0.429,5249,0.428,4013,0.26,3378,0.709
NE#MA#Magalhães de Almeida #,4903,0.567,5415,0.502,3988,0.499,5160,0.729,4960,0.386,5487,0.394,4256,0.243,5375,0.601
SE#SP#Magda #,488,0.753,937,0.724,185,0.717,1987,0.823,320,0.673,907,0.672,193,0.578,1108,0.785
SE#RJ#Magé #,1638,0.709,2020,0.685,1473,0.626,1560,0.832,2085,0.573,1667,0.64,1926,0.413,3323,0.711
NE#BA#Maiquinique #,4718,0.576,3853,0.586,4487,0.472,5520,0.69,4452,0.42,3990,0.506,4448,0.231,4900,0.635
NE#BA#Mairi #,4802,0.572,4089,0.575,4973,0.438,4893,0.744,4986,0.384,4660,0.468,4895,0.2,5357,0.603
SE#SP#Mairinque #,695,0.743,1008,0.721,538,0.684,1603,0.831,516,0.658,606,0.688,476,0.535,1433,0.774
SE#SP#Mairiporã #,76,0.788,213,0.767,155,0.723,77,0.881,252,0.682,70,0.751,549,0.527,635,0.801
CO#GO#Mairipotaba #,648,0.745,462,0.748,1050,0.648,581,0.854,1041,0.627,924,0.671,1242,0.465,960,0.789
S#SC#Major Gercino #,1969,0.698,639,0.738,2707,0.563,2259,0.818,1735,0.591,1839,0.632,2023,0.406,515,0.805
NE#AL#Major Isidoro #,4921,0.566,4288,0.566,5145,0.424,4602,0.755,5207,0.365,5077,0.441,5180,0.174,4914,0.634
NE#RN#Major Sales #,3756,0.617,4137,0.573,3402,0.529,3987,0.774,3743,0.462,4848,0.457,3381,0.306,3532,0.704
S#SC#Major Vieira #,2182,0.69,2789,0.653,1649,0.617,2307,0.817,1916,0.582,1811,0.633,1961,0.41,1908,0.76
SE#MG#Malacacheta #,3735,0.618,3492,0.609,3883,0.505,4204,0.768,3462,0.482,3351,0.548,3487,0.297,3855,0.69
NE#BA#Malhada #,5002,0.562,5062,0.532,4774,0.454,5081,0.734,4892,0.391,5219,0.431,4614,0.221,5044,0.627
NE#BA#Malhada de Pedras #,4670,0.578,4698,0.549,4502,0.471,4826,0.747,5059,0.379,4979,0.448,5113,0.181,4175,0.671
NE#SE#Malhada dos Bois #,4167,0.599,4451,0.56,3368,0.531,5268,0.722,3812,0.458,4815,0.459,3032,0.332,5016,0.629
NE#SE#Malhador #,4467,0.587,3834,0.587,4936,0.442,3726,0.781,3877,0.453,4074,0.501,3685,0.282,4409,0.659
S#PR#Mallet #,1665,0.708,2119,0.681,1097,0.645,2696,0.809,2052,0.575,1873,0.63,2023,0.406,2512,0.742
